MHid,State,Hospname,Wait Time,Establishment ID,Parent Id,Use Default wait time,Stage Average Wait Time,Unit,Medicare Prov Number,Address Line 1,Address Line 2,Latitude,Longitude,Australia,Full Address,Remoteness area (code),Remoteness area,Number of available beds,2012-13 Peer Group code,2012-13 Peer Group Name,Admissions reported,Emergency department,Elective surgery reported,Outpatient clinics,2011-12 Peer Group code,2011-12 Peer Group Name,Hospital Group
380,QLD,PORMPURAAW PRIMARY HEALTH CARE CENTRE,,310000254,,Y,18,Hospital,,Korka Street,Pormpuraaw 4871,-14.899592,141.621991,Australia,Korka Street Pormpuraaw 4871 QLD Australia,4,Very remote,1,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
381,QLD,COEN PRIMARY HEALTH CARE CENTRE,,310000255,,Y,18,Hospital,,Armbrust Street,Coen 4871,-13.944834,143.200996,Australia,Armbrust Street Coen 4871 QLD Australia,4,Very remote,1,VS,Very small public,No,No,No,No,G,Un-peered and other,SM
382,QLD,CAPELLA OUTPATIENTS CLINIC,,310000905,,Y,18,Hospital,,Main Street,Bollon 4488,-28.031544,147.4784,Australia,Main Street Bollon 4488 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
383,QLD,CRACOW OUTPATIENTS CLINIC,,310000907,,Y,18,Hospital,,Slider Street,Capella 4702,-23.080237,148.023022,Australia,Slider Street Capella 4702 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
384,QLD,DIMBULAH OUTPATIENTS CLINIC,,310000908,,Y,18,Hospital,,Fourth Avenue,Cracow 4719,-25.293859,150.297583,Australia,Fourth Avenue Cracow 4719 QLD Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
385,QLD,DUARINGA OUTPATIENTS CLINIC,,310000910,,Y,18,Hospital,,3-5 Stephens Street,Dimbulah 4872,-17.146669,145.106781,Australia,3-5 Stephens Street Dimbulah 4872 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
386,QLD,GLENMORGAN OUTPATIENTS CLINIC,,310000912,,Y,18,Hospital,,Corner of Elizabeth and William Streets,Duaringa 4712,,,Australia,Corner of Elizabeth and William Streets Duaringa 4712 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
387,QLD,LAURA PRIMARY HEALTH CARE CENTRE,,310000915,,Y,18,Hospital,,Queensland Country Women's Association Hall,Glenmorgan 4423,44.64357,-64.017433,Australia,Queensland Country Women's Association Hall Glenmorgan 4423 QLD Australia,4,Very remote,1,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
388,QLD,MAGNETIC ISLAND HEALTH SERVICE CENTRE,,310000916,,Y,18,Hospital,,1 Gladwell Street,Laura 4871,-38.38224,144.798935,Australia,1 Gladwell Street Laura 4871 QLD Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
389,QLD,MALANDA OUTPATIENTS CLINIC,,310000917,,Y,18,Hospital,,76 Sooning Street,Nelly Bay 4819,-19.15745,146.849854,Australia,76 Sooning Street Nelly Bay 4819 QLD Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
390,QLD,MEANDARRA OUTPATIENTS CLINIC,,310000919,,Y,18,Hospital,,3/15 Catherine Street,Malanda 4885,-17.35387,145.593994,Australia,3/15 Catherine Street Malanda 4885 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
391,QLD,MILLAA MILLAA OUTPATIENTS CLINIC,,310000920,,Y,18,Hospital,,Gibson Street,Meandarra 4422,-27.326668,149.881207,Australia,Gibson Street Meandarra 4422 QLD Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
392,QLD,MORVEN OUTPATIENTS CLINIC,,310000921,,Y,18,Hospital,,45 Palm Avenue,Millaa Millaa 4886,-17.51446,145.608063,Australia,45 Palm Avenue Millaa Millaa 4886 QLD Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
393,QLD,RAVENSHOE OUTPATIENTS CLINIC,,310000924,,Y,18,Hospital,,Warrego Highway,Morven 4468,-26.411648,147.103697,Australia,Warrego Highway Morven 4468 QLD Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
394,QLD,MALAKOOLA PRIMARY HEALTH CARE CENTRE,,310000928,,Y,18,Hospital,,27 Kuradilla Street,Ravenshoe 4888,-17.607123,145.482074,Australia,27 Kuradilla Street Ravenshoe 4888 QLD Australia,4,Very remote,1,OT,Outpatient hospital,Yes,No,No,No,G,Un-peered and other,SP
395,QLD,ROBINA HOSPITAL,26,310000934,,N,18,Hospital,,313 Moun-Ding Street,Napranum 4874,-12.684401,141.888982,Australia,313 Moun-Ding Street Napranum 4874 QLD Australia,0,Major Cities,454,M,Medium public acute,Yes,Yes,Yes,No,A1,Principal referral,LG
396,QLD,MOONIE OUTPATIENTS CLINIC,,310000935,,Y,18,Hospital,,Moonie Highway,Moonie 4406,-27.717177,150.369754,Australia,Moonie Highway Moonie 4406 QLD Australia,2,Outer Regional,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
397,QLD,ISLAND MEDICAL SERVICE,,310000939,,Y,18,Hospital,,Victoria Parade,Thursday Island,-10.585121,142.220295,Australia,Victoria Parade Thursday Island QLD Australia,4,Very remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
398,QLD,GEMFIELDS OUTPATIENTS CLINIC,,310000940,,Y,18,Hospital,,984 Rubyvale Road,Sapphire 4702,,,Australia,984 Rubyvale Road Sapphire 4702 QLD Australia,3,Remote,0,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
399,QLD,MAPOON PRIMARY HEALTH CARE CENTRE,,310000965,,Y,18,Hospital,,Main Street,Mapoon 4874,-12.15903,142.81045,Australia,Main Street Mapoon 4874 QLD Australia,4,Very remote,1,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
400,QLD,BAILLIE HENDERSON HOSPITAL,,340000701,,Y,18,Hospital,,Corner of Hogg and Tor Streets,Toowoomba 4350,,,Australia,Corner of Hogg and Tor Streets Toowoomba 4350 QLD Australia,1,Inner Regional,180,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
401,QLD,CHARTERS TOWERS REHABILITATION UNIT,,340000703,,Y,18,Hospital,,35 Gladstone Road,Charters Towers 4820,-20.075896,146.279307,Australia,35 Gladstone Road Charters Towers 4820 QLD Australia,2,Outer Regional,27,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
402,QLD,KIRWAN MENTAL HEALTH REHABILITATION UNIT,,340000715,,Y,18,Hospital,,138 Thuringowa Drive,Kirwan 4817,-19.305769,146.733837,Australia,138 Thuringowa Drive Kirwan 4817 QLD Australia,2,Outer Regional,34,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
403,QLD,THE PARK CENTRE FOR MENTAL HEALTH,,340000751,,Y,18,Hospital,,Corner of Ellerton Drive and Wolston Park Road,Wacol 4076,,,Australia,Corner of Ellerton Drive and Wolston Park Road Wacol 4076 QLD Australia,0,Major Cities,176,Ps,Psychiatric public,Yes,No,No,No,F,Psychiatric,PS
404,SA,Hampstead Rehabilitation Centre,,41CA00008,,Y,16,Hospital,,205 Hampstead RD,Northfield 5085,-34.858499,138.618203,Australia,205 Hampstead RD Northfield 5085 SA Australia,0,Major Cities,153,N2,Non-acute public-mixed subacute and non-acute,Yes,No,No,No,E4,Rehabilitation,SP
405,SA,The Queen Elizabeth Hospital,,41CA00014,,Y,16,Hospital,,28 Woodville RD,Woodville South 5011,-34.88369,138.533569,Australia,28 Woodville RD Woodville South 5011 SA Australia,0,Major Cities,346.6,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
406,SA,Royal Adelaide Hospital,,41CA00019,,Y,16,Hospital,,North TCE,Adelaide 5000,-34.922176,138.588197,Australia,North TCE Adelaide 5000 SA Australia,0,Major Cities,874,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
407,SA,Pregnancy Advisory Centre,,41CA00035,,Y,16,Hospital,,21 Belmore TCE,Woodville 5011,-34.883197,138.546073,Australia,21 Belmore TCE Woodville 5011 SA Australia,0,Major Cities,10,O5,Unpeered,Yes,No,No,No,G,Un-peered and other,SP
408,SA,St. Margaret's Hospital,,41CA00042,,Y,16,Hospital,,65 Military RD,Semaphore South 5019,-34.846409,138.480453,Australia,65 Military RD Semaphore South 5019 SA Australia,0,Major Cities,48,N2,Non-acute public-mixed subacute and non-acute,Yes,No,No,No,E4,Rehabilitation,SP
409,SA,Women's and Children's Hospital,,41CW00003,,Y,16,Hospital,,72 King William RD,North Adelaide 5006,-34.91151,138.59996,Australia,72 King William RD North Adelaide 5006 SA Australia,0,Major Cities,324.8,W2,Womens and childrens,Yes,Yes,Yes,Yes,A2,Specialist womens and childrens,WC
410,SA,Central Eyre Peninsula Hospital (Wudinna),,41EY00076,,Y,16,Hospital,,16-24 Richards AV,Wudinna 5652,-33.050339,135.467163,Australia,16-24 Richards AV Wudinna 5652 SA Australia,4,Very remote,13,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
411,SA,Cleve District Health and Aged Care,,41EY00082,,Y,16,Hospital,,North TCE,Cleve 5640,-33.699043,136.493416,Australia,North TCE Cleve 5640 SA Australia,3,Remote,20,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
412,SA,Cowell District Hospital,,41EY00088,,Y,16,Hospital,,17 South TCE,Cowell 5602,-33.68553,136.924386,Australia,17 South TCE Cowell 5602 SA Australia,3,Remote,8,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
413,SA,Cummins and District Memorial Hospital,,41EY00094,,Y,16,Hospital,,19-21 Tumby Bay RD,Cummins 5631,-34.263672,135.732483,Australia,19-21 Tumby Bay RD Cummins 5631 SA Australia,3,Remote,19,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
414,SA,Elliston Hospital,,41EY00097,,Y,16,Hospital,,4-6 Memorial DR,Elliston 5670,-33.647251,134.891037,Australia,4-6 Memorial DR Elliston 5670 SA Australia,4,Very remote,6,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
415,SA,Kimba District Health and Aged Care,,41EY00121,,Y,16,Hospital,,15 Martin TCE,Kimba 5641,-33.140953,136.411277,Australia,15 Martin TCE Kimba 5641 SA Australia,3,Remote,8,VS,Very small public,Yes,No,No,No,E2,Multi-purpose services,SM
416,SA,Ceduna District Health Service,,41EY00169,,Y,16,Hospital,,3 Eyre HWY,Ceduna 5690,-32.122916,133.697518,Australia,3 Eyre HWY Ceduna 5690 SA Australia,4,Very remote,21,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,E2,Multi-purpose services,SM
417,SA,Port Lincoln Health Service,,41EY00202,,Y,16,Hospital,,39 Oxford TCE,Port Lincoln 5606,-34.72401,135.850296,Australia,39 Oxford TCE Port Lincoln 5606 SA Australia,3,Remote,50,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,D3,Small remote acute,SM
418,SA,Streaky Bay Hospital,,41EY00232,,Y,16,Hospital,,1 Flinders DR,Streaky Bay 5680,-32.7930794,134.2179565,Australia,1 Flinders DR Streaky Bay 5680 SA Australia,3,Remote,19,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
419,SA,Tumby Bay Hospital and Health Services,,41EY00241,,Y,16,Hospital,,8-11 The ESP,Tumby Bay 5605,-35.53614,138.681442,Australia,8-11 The ESP Tumby Bay 5605 SA Australia,3,Remote,15,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
420,SA,Gumeracha District Soldiers Memorial Hospital,,41HM00106,,Y,16,Hospital,,2 Albert ST,Gumeracha 5233,-34.821173,138.888301,Australia,2 Albert ST Gumeracha 5233 SA Australia,1,Inner Regional,17,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,SM
421,SA,Kangaroo Island Health Service,,41HM00112,,Y,16,Hospital,,3 The ESP,Kingscote 5223,-35.834849,137.158599,Australia,3 The ESP Kingscote 5223 SA Australia,3,Remote,15,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D2,Small non-acute,SM
422,SA,Karoonda & District Soldiers' Memorial Hospital,,41HM00118,,Y,16,Hospital,,13 Stokes RD,Karoonda 5307,-35.093731,139.889465,Australia,13 Stokes RD Karoonda 5307 SA Australia,2,Outer Regional,4,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
423,SA,Lameroo District Health Services,,41HM00127,,Y,16,Hospital,,1A Vardon TCE,Lameroo 5302,-35.328058,140.517606,Australia,1A Vardon TCE Lameroo 5302 SA Australia,3,Remote,11,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,SM
424,SA,Tailem Bend District Hospital,,41HM00136,,Y,16,Hospital,,74 Princes HWY,Tailem Bend 5260,-35.255379,139.453247,Australia,74 Princes HWY Tailem Bend 5260 SA Australia,1,Inner Regional,9,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
425,SA,The Mannum District Hospital,,41HM00145,,Y,16,Hospital,,Parker ST,Mannum 5238,-34.916233,139.308081,Australia,Parker ST Mannum 5238 SA Australia,1,Inner Regional,13,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
426,SA,Meningie & Districts Memorial Hospital & Health Services,,41HM00151,,Y,16,Hospital,,2 South TCE,Meningie 5264,-35.692678,139.334691,Australia,2 South TCE Meningie 5264 SA Australia,2,Outer Regional,14,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
427,SA,Mount Barker District Soldiers' Memorial Hospital,,41HM00160,,Y,16,Hospital,,Wellington RD,Mount Barker 5251,-35.084662,138.871797,Australia,Wellington RD Mount Barker 5251 SA Australia,1,Inner Regional,40,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
428,SA,Mount Pleasant District Hospital,,41HM00166,,Y,16,Hospital,,28 Hospital RD,Mount Pleasant 5235,-34.7732493,139.0539899,Australia,28 Hospital RD Mount Pleasant 5235 SA Australia,1,Inner Regional,27,S2,Other small public acute,Yes,No,Yes,No,D2,Small non-acute,SM
429,SA,The Murray Bridge Soldiers' Memorial Hospital,,41HM00172,,Y,16,Hospital,,96 Swanport RD,Murray Bridge 5253,-35.128899,139.280594,Australia,96 Swanport RD Murray Bridge 5253 SA Australia,1,Inner Regional,58,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
430,SA,Pinnaroo Soldiers' Memorial Hospital,,41HM00193,,Y,16,Hospital,,Bundey TCE,Pinnaroo 5304,-35.257118,140.906302,Australia,Bundey TCE Pinnaroo 5304 SA Australia,3,Remote,8,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
431,SA,South Coast District Hospital,,41HM00223,,Y,16,Hospital,,Bay RD,Victor Harbor 5211,-35.563187,138.599018,Australia,Bay RD Victor Harbor 5211 SA Australia,1,Inner Regional,42,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
432,SA,Strathalbyn and District Health Service,,41HM00229,,Y,16,Hospital,,14 Alfred PL,Strathalbyn 5255,-35.257881,138.893356,Australia,14 Alfred PL Strathalbyn 5255 SA Australia,1,Inner Regional,25,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D2,Small non-acute,SM
433,SA,Booleroo Centre District Hospital and Health Services,,41MN00067,,Y,16,Hospital,,Stephens ST,Booleroo Centre 5482,-32.882922,138.350687,Australia,Stephens ST Booleroo Centre 5482 SA Australia,2,Outer Regional,23,S2,Other small public acute,Yes,No,No,No,D2,Small non-acute,SM
434,SA,Crystal Brook and District Hospital,,41MN00091,,Y,16,Hospital,,Edmund TCE,Crystal Brook 5523,-33.35468,138.211187,Australia,Edmund TCE Crystal Brook 5523 SA Australia,2,Outer Regional,13,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D2,Small non-acute,SM
435,SA,Jamestown Hospital & Health Service,,41MN00109,,Y,16,Hospital,,South TCE,Jamestown 5491,-33.211101,138.613942,Australia,South TCE Jamestown 5491 SA Australia,2,Outer Regional,22,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D2,Small non-acute,SM
436,SA,Laura & Districts Hospital,,41MN00130,,Y,16,Hospital,,33 Mill ST,Laura 5480,-33.177151,138.29895,Australia,33 Mill ST Laura 5480 SA Australia,2,Outer Regional,4,VS,Very small public,Yes,No,No,No,D2,Small non-acute,SM
437,SA,Orroroo & District Health Service,,41MN00184,,Y,16,Hospital,,Pekina RD,Orroroo 5431,-32.798446,138.568968,Australia,Pekina RD Orroroo 5431 SA Australia,2,Outer Regional,8,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
438,SA,Peterborough Soldiers' Memorial Hospital,,41MN00190,,Y,16,Hospital,,23 Hurlstone ST,Peterborough 5422,-32.976684,138.83182,Australia,23 Hurlstone ST Peterborough 5422 SA Australia,2,Outer Regional,22,S2,Other small public acute,Yes,No,Yes,No,D2,Small non-acute,SM
439,SA,Port Broughton District Hospital & Health Services,,41MN00199,,Y,16,Hospital,,Bay ST,Port Broughton 5522,-33.600527,137.933802,Australia,Bay ST Port Broughton 5522 SA Australia,2,Outer Regional,20,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
440,SA,Port Pirie Regional Health Service,,41MN00205,,Y,16,Hospital,,Alexander ST,Port Pirie 5540,-33.1771944,138.0052611,Australia,Alexander ST Port Pirie 5540 SA Australia,2,Outer Regional,68.7,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
441,SA,McLaren Vale & Districts War Memorial Hospital Inc,,41MO00036,,Y,16,Hospital,,Aldersley ST,McLaren Vale 5171,,,Australia,Aldersley ST McLaren Vale 5171 SA Australia,0,Major Cities,0,S2,Other small public acute,Yes,No,No,No,G,Un-peered and other,SM
442,SA,Lyell McEwin Hospital,,41NA00027,,Y,16,Hospital,,Haydown RD,Elizabeth Vale 5112,-34.7469597,138.6657562,Australia,Haydown RD Elizabeth Vale 5112 SA Australia,0,Major Cities,308,L,Large public acute,Yes,Yes,Yes,Yes,A1,Principal referral,LG
443,SA,Modbury Hospital,,41NA00030,,Y,16,Hospital,,41-69 Smart RD,Modbury 5092,-34.8340988,138.6898346,Australia,41-69 Smart RD Modbury 5092 SA Australia,0,Major Cities,166,L,Large public acute,Yes,Yes,Yes,Yes,B1,Large Major cities,LG
444,SA,Andamooka Outpost Hospital,,41NF00046,,Y,16,Hospital,,,Andamooka 5722,-30.749052,137.164287,Australia, Andamooka 5722 SA Australia,4,Very remote,2,OT,Outpatient hospital,No,No,No,No,G,Un-peered and other,SP
445,SA,Coober Pedy Hospital & Health Services,,41NF00085,,Y,16,Hospital,,Lot 89 Hospital RD,Coober Pedy 5723,-28.998742,134.762142,Australia,Lot 89 Hospital RD Coober Pedy 5723 SA Australia,4,Very remote,15,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
446,SA,Hawker Memorial Hospital,,41NF00103,,Y,16,Hospital,,Cradock RD,Hawker 5434,-31.889008,138.424188,Australia,Cradock RD Hawker 5434 SA Australia,2,Outer Regional,4,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
447,SA,Leigh Creek Health Services,,41NF00133,,Y,16,Hospital,,Black Oak DR,Leigh Creek 5731,-30.590333,138.398739,Australia,Black Oak DR Leigh Creek 5731 SA Australia,4,Very remote,7,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
448,SA,Royal District Nursing Service of SA (Marree Health Services),,41NF00148,,Y,16,Hospital,,Lot 43 First ST,Marree 5733,,,Australia,Lot 43 First ST Marree 5733 SA Australia,4,Very remote,0,OT,Outpatient hospital,Yes,No,No,No,G,Un-peered and other,SP
449,SA,Oodnadatta Hospital,,41NF00181,,Y,16,Hospital,,Lot 7 First ST,Oodnadatta 5734,-27.54739,135.44749,Australia,Lot 7 First ST Oodnadatta 5734 SA Australia,4,Very remote,2,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
450,SA,Port Augusta Hospital & Regional Health Services,,41NF00196,,Y,16,Hospital,,71 Hospital RD,Port Augusta 5700,-32.508975,137.776782,Australia,71 Hospital RD Port Augusta 5700 SA Australia,2,Outer Regional,61,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
451,SA,Quorn Health Services,,41NF00208,,Y,16,Hospital,,Hospital RD,Quorn 5433,,,Australia,Hospital RD Quorn 5433 SA Australia,2,Outer Regional,11,S2,Other small public acute,Yes,No,Yes,No,D1,Small regional acute,SM
452,SA,Roxby Downs Health Services,,41NF00217,,Y,16,Hospital,,16-28 Burgoyne ST,Roxby Downs 5725,-30.5667805,136.8951703,Australia,16-28 Burgoyne ST Roxby Downs 5725 SA Australia,3,Remote,10,S2,Other small public acute,Yes,No,No,No,D3,Small remote acute,SM
453,SA,Woomera Community Hospital,,41NF00248,,Y,16,Hospital,,Dewrang AV,Woomera 5720,-31.200242,136.825746,Australia,Dewrang AV Woomera 5720 SA Australia,4,Very remote,10,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
454,SA,Whyalla Hospital & Health Services,,41NF00249,,Y,16,Hospital,,20 Wood TCE,Whyalla 5600,-33.034733,137.5777615,Australia,20 Wood TCE Whyalla 5600 SA Australia,2,Outer Regional,99,M,Medium public acute,Yes,Yes,Yes,No,C1,Medium (group 1),LG
455,SA,Riverland Regional Health Service - Barmera Hospital,,41RI00055,,Y,16,Hospital,,Hawdon ST,Barmera 5345,,,Australia,Hawdon ST Barmera 5345 SA Australia,2,Outer Regional,20,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
456,SA,Riverland Regional Health Service - Berri Hospital,,41RI00058,,Y,16,Hospital,,Maddern ST,Berri 5343,-34.27575,140.601572,Australia,Maddern ST Berri 5343 SA Australia,2,Outer Regional,47,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
457,SA,Loxton Hospital Complex,,41RI00139,,Y,16,Hospital,,Drabsch ST,Loxton 5333,-34.453872,140.561479,Australia,Drabsch ST Loxton 5333 SA Australia,2,Outer Regional,22,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,SM
458,SA,Renmark Paringa District Hospital,,41RI00211,,Y,16,Hospital,,Ral Ral AV,Renmark 5341,-34.169672,140.748246,Australia,Ral Ral AV Renmark 5341 SA Australia,2,Outer Regional,23,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,SM
459,SA,Waikerie Hospital & Health Services,,41RI00244,,Y,16,Hospital,,1 Lawrie TCE,Waikerie 5330,,,Australia,1 Lawrie TCE Waikerie 5330 SA Australia,2,Outer Regional,29,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D2,Small non-acute,SM
460,SA,Flinders Medical Centre,,41SA00005,,Y,16,Hospital,,Flinders DR,Bedford Park 5042,-35.024431,138.567918,Australia,Flinders DR Bedford Park 5042 SA Australia,0,Major Cities,589.5,PR,Principal referral,Yes,Yes,Yes,Yes,A1,Principal referral,PR
461,SA,Repatriation General Hospital,,41SA00018,,Y,16,Hospital,,216 Daws RD,Daw Park 5041,-34.9920988,138.5885704,Australia,216 Daws RD Daw Park 5041 SA Australia,0,Major Cities,300.3,L,Large public acute,Yes,No,Yes,Yes,B1,Large Major cities,LG
462,SA,Noarlunga Public Hospital,,41SA00033,,Y,16,Hospital,,Alexander Kelly DR,Noarlunga Centre 5168,-35.138867,138.499553,Australia,Alexander Kelly DR Noarlunga Centre 5168 SA Australia,0,Major Cities,80.2,M,Medium public acute,Yes,Yes,Yes,Yes,C1,Medium (group 1),LG
463,SA,Bordertown Memorial Hospital,,41SE00070,,Y,16,Hospital,,23 South TCE,Bordertown 5268,-36.3127676,140.7661244,Australia,23 South TCE Bordertown 5268 SA Australia,2,Outer Regional,49,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D2,Small non-acute,SM
464,SA,Kingston Soldiers' Memorial Hospital,,41SE00124,,Y,16,Hospital,,Cnr Cooke & Young ST,Kingston SE 5275,-36.8345384,139.8484599,Australia,Cnr Cooke & Young ST Kingston SE 5275 SA Australia,2,Outer Regional,10,S2,Other small public acute,Yes,No,No,No,D1,Small regional acute,SM
465,SA,Millicent & District Hospital & Health Services,,41SE00154,,Y,16,Hospital,,Mount Gambier RD,Millicent 5280,,,Australia,Mount Gambier RD Millicent 5280 SA Australia,2,Outer Regional,30,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,SM
466,SA,Mount Gambier and Districts Health Service,,41SE00163,,Y,16,Hospital,,276 Wehl ST,Mount Gambier 5290,-37.805075,140.7867,Australia,276 Wehl ST Mount Gambier 5290 SA Australia,2,Outer Regional,90,M,Medium public acute,Yes,Yes,Yes,No,B2,Large regional and remote,LG
467,SA,Naracoorte Health Service,,41SE00175,,Y,16,Hospital,,101 Jenkins TCE,Naracoorte 5271,-36.961128,140.746243,Australia,101 Jenkins TCE Naracoorte 5271 SA Australia,2,Outer Regional,61,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,C2,Medium (group 2),SM
468,SA,Penola War Memorial Hospital,,41SE00187,,Y,16,Hospital,,18 Church ST,Penola 5277,-37.375936,140.836522,Australia,18 Church ST Penola 5277 SA Australia,2,Outer Regional,6,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
469,SA,South East Regional CHS,,41SE00224,,Y,16,Hospital,,,,-30.0794754,135.828186,Australia,  SA Australia,,,2,O5,Unpeered,No,No,No,No,G,Un-peered and other,SP
470,SA,Gawler Health Service,,41WK00020,,Y,16,Hospital,,21 Hutchinson RD,Gawler East 5118,-34.594101,138.7552185,Australia,21 Hutchinson RD Gawler East 5118 SA Australia,0,Major Cities,62,S1,Small public acute with surgery/obstetrics,Yes,Yes,Yes,No,C2,Medium (group 2),SM
471,SA,Angaston District Hospital,,41WK00049,,Y,16,Hospital,,29 North ST,Angaston 5353,-34.5036576,139.0537813,Australia,29 North ST Angaston 5353 SA Australia,1,Inner Regional,32,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,SM
472,SA,Balaklava Soldier's Memorial District Hospital,,41WK00052,,Y,16,Hospital,,16 War Memorial DR,Balaklava 5461,-34.139629,138.420227,Australia,16 War Memorial DR Balaklava 5461 SA Australia,1,Inner Regional,31,S2,Other small public acute,Yes,No,Yes,No,D1,Small regional acute,SM
473,SA,Burra Hospital,,41WK00073,,Y,16,Hospital,,46 Commercial ST,Burra 5417,-33.685478,138.93457,Australia,46 Commercial ST Burra 5417 SA Australia,2,Outer Regional,7,VS,Very small public,Yes,No,No,No,D1,Small regional acute,SM
474,SA,Clare Hospital,,41WK00079,,Y,16,Hospital,,47 Farrel Flat RD,Clare 5453,-33.828333,138.615206,Australia,47 Farrel Flat RD Clare 5453 SA Australia,2,Outer Regional,33,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,SM
475,SA,Eudunda Hospital,,41WK00100,,Y,16,Hospital,,40 Ward ST,Eudunda 5374,-34.175461,139.089844,Australia,40 Ward ST Eudunda 5374 SA Australia,1,Inner Regional,8,VS,Very small public,Yes,No,No,No,G,Un-peered and other,SM
476,SA,Kapunda Hospital,,41WK00115,,Y,16,Hospital,,26 Nash ST,Kapunda 5373,-34.3317407,138.920542,Australia,26 Nash ST Kapunda 5373 SA Australia,1,Inner Regional,27,S1,Small public acute with surgery/obstetrics,Yes,No,Yes,No,D1,Small regional acute,SM
